longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,y
-117.88,33.64,16,3615,570,1209,559,8.5574,392.2
-117.88,33.63,21,9565,2289,3162,1831,4.7024,345.4
-117.88,33.6,31,5488,1055,1938,964,8.8742,500.001
-117.88,33.55,27,2278,316,772,304,10.1275,500.001
-117.89,34.14,15,4644,967,2855,867,3.3654,222.1
-117.89,34.13,34,2159,386,1443,385,4.1995,147.4
-117.89,34.12,35,1566,321,1396,317,4.05,141.3
-117.89,34.12,35,1470,241,885,246,4.9239,168.8
-117.89,34.12,35,1447,272,1224,268,3.9934,141.9
-117.89,34.11,36,806,147,446,153,4.5221,151.3
-117.89,34.11,27,2434,535,1623,498,3.6875,140.2
-117.89,34.1,35,3185,544,1858,564,3.8304,175.9
-117.89,34.1,34,2048,411,1456,416,3.125,168.6
-117.89,34.1,27,3341,728,1762,679,2.9437,180.4
-117.89,34.09,37,1813,394,1100,375,3.4453,176.7
-117.89,34.09,37,1055,280,538,206,2.4167,181.3
-117.89,34.09,36,1811,320,1005,332,5.5629,188.3
-117.89,34.09,35,1205,330,583,319,2.3971,188.9
-117.89,34.08,35,1711,335,825,356,3.5,215.6
-117.89,34.08,25,2115,489,1107,477,3.1949,207.4
-117.89,34.07,35,834,137,392,123,4.5179,218.8
-117.89,34.07,35,1439,261,804,271,3.9808,188.6
-117.89,34.07,32,2374,450,1580,427,3.8837,200.3
-117.89,34.01,23,4535,955,3881,930,3.6275,154.1
-117.89,33.99,22,3272,618,1784,591,4.0324,211.3
-117.89,33.98,5,3088,711,1415,641,2.5125,184.5
-117.89,33.94,20,3349,685,1822,675,4.7216,227
-117.89,33.92,8,2120,544,1281,470,3.4954,159.5
-117.89,33.92,17,2936,555,1381,535,5.4617,190.3
-117.89,33.92,14,1562,373,609,328,2.3935,125
-117.89,33.9,23,1533,226,693,230,7.898,258.2
-117.89,33.9,16,1426,216,652,226,6.5284,288.7
-117.89,33.89,17,1671,192,678,206,13.1107,467.6
-117.89,33.88,33,1582,256,771,240,5.3836,229.6
-117.89,33.88,27,2091,336,1037,332,5.7519,243.4
-117.89,33.88,15,1655,626,1549,582,1.9127,175
-117.89,33.87,32,1133,216,693,228,3.3594,202.1
-117.89,33.87,25,1492,439,755,389,3.0893,188.2
-117.89,33.86,28,1395,398,1220,362,3.3008,193.8
-117.89,33.85,13,1583,474,1672,432,3.2303,201.3
-117.89,33.84,35,3315,744,2425,687,3.5521,182.8
-117.89,33.84,33,1587,374,1159,331,2.8021,195.1
-117.89,33.83,35,2984,446,1435,455,5.6276,200.8
-117.89,33.82,24,1268,210,700,224,5.0605,216.2
-117.89,33.82,21,1591,298,904,297,4.8906,179.1
-117.89,33.82,18,3197,809,1894,726,3.6761,140.5
-117.89,33.8,38,51,12,41,10,6.0224,187.5
-117.89,33.78,16,6352,1747,5085,1649,2.8835,193.8
-117.89,33.77,35,1799,343,1239,368,3.9219,189.6
-117.89,33.76,36,2656,572,2370,571,3.8056,177.2
-117.89,33.75,34,2753,654,3117,631,3.1713,170.1
-117.89,33.75,31,1205,280,1476,301,4.0231,139.2
-117.89,33.74,34,1759,353,2083,330,3.2292,160.6
-117.89,33.74,33,619,139,1217,146,4.6875,154.4
-117.89,33.74,32,660,145,959,113,3.75,159
-117.89,33.74,32,1562,365,2145,347,2.9167,158.4
